category,year,cites,title,venue,doi,authors
ML-geopolymer landmark,2021,314,Artificial neural network model to predict the compressive strength of eco-friendly geopolymer concrete incorporating silica fume and natural zeolite,Journal of Cleaner Production,10.1016/j.jclepro.2020.123697,"Shahmansouri, A.A.; Yazdani, M.; Ghanbari, S.; Akbarzadeh Bengar, H.; Jafari, A.; Farrokh Ghatte, H."
ML-geopolymer landmark,2019,297,Artificial Intelligence Approaches for Prediction of Compressive Strength of Geopolymer Concrete,Materials,10.3390/ma12060983,"Dao, D.V.; Ly, H.B.; Trinh, S.H.; Le, T.T.; Pham, B.T."
ML-geopolymer landmark,2020,245,Analyzing the compressive strength of green fly ash based geopolymer concrete using experiment and machine learning approaches,Construction and Building Materials,10.1016/j.conbuildmat.2020.118581,"Nguyen, K.T.; Nguyen, Q.D.; Le, T.A.; Shin, J.; Lee, K."
ML-geopolymer landmark,2015,215,Prediction of unconfined compressive strength of geopolymer stabilized clayey soil using Artificial Neural Network,Computers and Geotechnics,10.1016/j.compgeo.2015.05.021,"Mozumder, R.A.; Laskar, A.I."
ML-geopolymer landmark,2023,201,"Innovative modeling techniques including MEP, ANN and FQ to forecast the compressive strength of geopolymer concrete modified with nanoparticles",Neural Computing and Applications,10.1007/s00521-023-08378-3,"Ahmed, H.U.; Mohammed, A.S.; Faraj, R.H.; Abdalla, A.A.; Qaidi, S.M.A.; Sor, N.H.; Mohammed, A.A."
ML-geopolymer landmark,2020,190,Estimating strength properties of geopolymer self-compacting concrete using machine learning techniques,Journal of Materials Research and Technology,10.1016/j.jmrt.2020.06.008,"Awoyera, P.O.; Kirgiz, M.S.; Viloria, A.; Ovallos-Gazabon, D."
ML-geopolymer landmark,2020,186,Compressive strength prediction of eco-efficient GGBS-based geopolymer concrete using GEP method,Journal of Building Engineering,10.1016/j.jobe.2020.101326,"Shahmansouri, A.A.; Akbarzadeh Bengar, H.; Ghanbari, S."
ML-geopolymer landmark,2021,171,Machine learning to predict properties of fresh and hardened alkali-activated concrete,Cement and Concrete Composites,10.1016/j.cemconcomp.2020.103863,"Gomaa, E.; Han, T.; ElGawady, M.; Huang, J.; Kumar, A."
ML-geopolymer landmark,2022,163,Analyzing the mechanical performance of fly ash-based geopolymer concrete with different machine learning techniques,Construction and Building Materials,10.1016/j.conbuildmat.2021.125785,"Peng, Y.; Unluer, C."
ML-geopolymer landmark,2021,151,Prediction of Geopolymer Concrete Compressive Strength Using Novel Machine Learning Algorithms,Polymers,10.3390/polym13193389,"Ahmad, A.; Ahmad, W.; Chaiyasarn, K.; Ostrowski, K.A.; Aslam, F.; Zajdel, P.; Joyklad, P."
ML-geopolymer landmark,2021,141,"Geopolymer Concrete Compressive Strength via Artificial Neural Network, Adaptive Neuro Fuzzy Interface System, and Gene Expression Programming With K-Fold Cross Validation",Frontiers in Materials,10.3389/fmats.2021.621163,"Khan, M.A.; Zafar, A.; Farooq, F.; Javed, M.F.; Alyousef, R.; Alabduljabbar, H.; Khan, M.I."
ML-geopolymer landmark,2019,132,Prediction of Compressive Strength of Geopolymer Concrete Using Entirely Steel Slag Aggregates: Novel Hybrid Artificial Intelligence Approaches,Applied Sciences,10.3390/app9061113,"Dao, D.V.; Trinh, S.H.; Ly, H.B.; Pham, B.T."
one-part landmark,2015,394,Synthesis of heat and ambient cured one-part geopolymer mixes with different grades of sodium silicate,Ceramics International,10.1016/j.ceramint.2014.12.154,"Nematollahi, B.; Sanjayan, J.; Shaikh, F.U.A."
one-part landmark,2016,340,Synthesis and strength optimization of one-part geopolymer based on red mud,Construction and Building Materials,10.1016/j.conbuildmat.2016.02.099,"Ye, N.; Yang, J.; Liang, S.; Hu, Y.; Hu, J.; Xiao, B.; Huang, Q."
one-part landmark,2019,327,Fresh and hardened properties of one-part fly ash-based geopolymer binders cured at room temperature: Effect of slag and alkali activators,Journal of Cleaner Production,10.1016/j.jclepro.2019.03.290,"Yousefi Oderji, S.; Chen, B.; Ahmad, M.R.; Shah, S.F.A."
one-part landmark,2019,253,Properties and characterization of green one-part geopolymer activated by composite activators,Journal of Cleaner Production,10.1016/j.jclepro.2019.02.159,"Ma, C.; Zhao, B.; Guo, S.; Long, G.; Xie, Y."
one-part landmark,2018,238,Preparation of cleaner one-part geopolymer by investigating different types of commercial sodium metasilicate in China,Journal of Cleaner Production,10.1016/j.jclepro.2018.08.060,"Ma, C.; Long, G.; Shi, Y.; Xie, Y."
one-part landmark,2017,202,Micromechanics-based investigation of a sustainable ambient temperature cured one-part strain hardening geopolymer composite,Construction and Building Materials,10.1016/j.conbuildmat.2016.11.117,"Nematollahi, B.; Sanjayan, J.; Qiu, J.; Yang, E.H."
one-part landmark,2018,197,Tensile behavior and microstructure of hybrid fiber ambient cured one-part engineered geopolymer composites,Construction and Building Materials,10.1016/j.conbuildmat.2018.07.012,"Alrefaei, Y.; Dai, J.G."
one-part landmark,2018,186,One-part geopolymer cement from slag and pretreated paper sludge,Journal of Cleaner Production,10.1016/j.jclepro.2018.03.007,"Adesanya, E.; Ohenoja, K.; Luukkonen, T.; Kinnunen, P.; Illikainen, M."
one-part landmark,2021,182,Effect of alkali reactions on the rheology of one-part 3D printable geopolymer concrete,Cement and Concrete Composites,10.1016/j.cemconcomp.2020.103899,"Muthukrishnan, S.; Ramakrishnan, S.; Sanjayan, J."
one-part landmark,2017,173,High ductile behavior of a polyethylene fiber-reinforced one-part geopolymer composite: A micromechanics-based investigation,Archives of Civil and Mechanical Engineering,10.1016/j.acme.2016.12.005,"Nematollahi, B.; Sanjayan, J.; Qiu, J.; Yang, E.H."
one-part landmark,2016,170,Characterisation of One-Part Geopolymer Binders Made from Fly Ash,Waste and Biomass Valorization,10.1007/s12649-016-9582-5,"Hajimohammadi, A.; van Deventer, J.S.J."
one-part landmark,2020,167,Development of high strength one-part geopolymer mortar using sodium metasilicate,Construction and Building Materials,10.1016/j.conbuildmat.2019.117611,"Dong, M.; Elchalakani, M.; Karrech, A."
one-part x ML frontier,2022,79,Compressive strength prediction of one-part alkali activated material enabled by interpretable machine learning,Construction and Building Materials,10.1016/j.conbuildmat.2022.129534,"Shah, S.F.A.; Chen, B.; Zahid, M.; Ahmad, M.R."
one-part x ML frontier,2024,17,Comparative study on the prediction of the unconfined compressive strength of the one-part geopolymer stabilized soil by using different hybrid machine learning models,Case Studies in Construction Materials,10.1016/j.cscm.2024.e03439,"Chen, Q.; Hu, G.; Wu, J."
one-part x ML frontier,2023,16,Optimization of Fly Ash—Slag One-Part Geopolymers with Improved Properties,Materials,10.3390/ma16062348,"Faridmehr, I.; Sahraei, M.A.; Nehdi, M.L.; Valerievich, K.A."
one-part x ML frontier,2024,9,Prediction of the Unconfined Compressive Strength of a One-Part Geopolymer-Stabilized Soil Using Deep Learning Methods with Combined Real and Synthetic Data,Buildings,10.3390/buildings14092894,"Chen, Q.; Hu, G.; Wu, J."
one-part x ML frontier,2024,6,Prediction on the freeze-thaw resistance of a one-part geopolymer stabilized soil by using deep learning method,Case Studies in Construction Materials,10.1016/j.cscm.2024.e03530,"Yao, C.; Hu, G.; Chen, Q.; Wu, J."
one-part x ML frontier,2024,4,Analyzing the compressive strength of one-part geopolymers using experiment and machine learning approaches,Journal of Building Engineering,10.1016/j.jobe.2024.111429,"Wei, J.; Chen, K.; Yu, H.; Wang, S.; Zhang, S.; Pan, C."
one-part x ML frontier,2024,4,Performance Assessment of One-Part Self-Compacted Geopolymer Concrete Containing Recycled Concrete Aggregate: A Critical Comparison Using Artificial Neural Network (ANN) and Linear Regression Models,Recycling,10.3390/recycling9050073,"Nikmehr, B.; Kafle, B.; Al-Ameri, R."
one-part x ML frontier,2025,4,Analysis on the Ductility of One-Part Geopolymer-Stabilized Soil with PET Fibers: A Deep Learning Neural Network Approach,Buildings,10.3390/buildings15152645,"Hu, G.; Zhang, J.; Tang, Y.; Wu, J."
one-part x ML frontier,2024,3,Artificial Intelligence Prediction of One-Part Geopolymer Compressive Strength for Sustainable Concrete,Computer Modeling in Engineering &amp; Sciences,10.32604/cmes.2024.052505,"Abdel-Mongy, M.; Iqbal, M.; Farag, M.; Yosri, A.M.; Alsharari, F.; Yousef, S.E.A.S."
one-part x ML frontier,2026,3,Evaluation of strength development of one-part alkali-activated materials through machine learning and thermodynamic modelling,Cement and Concrete Composites,10.1016/j.cemconcomp.2025.106364,"Pei, J.S.F.; Choo, C.S.; Khaerudini, D.S.; Bong, S.H.; Ong, D.E.L.; Sunarso, J."
one-part x ML frontier,2026,3,Prediction of the Unconfined Compressive Strength of One-Part Geopolymer-Stabilized Soil Under Acidic Erosion: Comparison of Multiple Machine Learning Models,Materials,10.3390/ma19010209,"Zhang, J.; Hu, G.; Zhang, J.; Wu, J."
one-part x ML frontier,2023,2,Optimizing and Predicting Compressive Strength of One-Part Geopolymer Concrete,International Journal for Research in Applied Science and Engineering Technology,10.22214/ijraset.2023.53436,"Meshram, A."
one-part x ML frontier,2025,2,Artificial neural network-based prediction of compressive strength in sustainable one-part GGBS/POFA-based geopolymer mortar with synthesized sodium silicates,Journal of Sustainable Cement-Based Materials,10.1080/21650373.2025.2597879,"Salman, A.; Alengaram, U.J.; Wan Jaafar, W.Z.; Suhatril, M.; Marafa, S.; Deboucha, W."
one-part x ML frontier,2025,2,Interpretation of Dominant Features Governing Compressive Strength in One-Part Geopolymer,Buildings,10.3390/buildings15203661,"Wang, Y.; Jia, Y.; Wang, C.; He, W.; Ding, Q.; Wang, F.; Wang, M.; Fang, K."
one-part x ML frontier,2025,1,Analytical and experimental investigation on strength characteristics of one part geopolymer using machine learning models,Asian Journal of Civil Engineering,10.1007/s42107-025-01602-6,"Harika, R.; Venkateswara Rao, S.; Ramujee, K.; Keerthan, B."
one-part x ML frontier,2026,1,Influence of chemical components and molar ratios on strength development of one-part alkali-activated mortar: Ensemble machine learning models,Results in Engineering,10.1016/j.rineng.2026.109621,"Khalil, J.; Al-Fakih, A.; Yaseen, Z.M.; Al-Osta, M.A.; Hossain, M.R."
