doi,year,title,venue,cites,is_ml,is_onepart
10.1016/j.compositesb.2025.113290,2026,Multi-scale insights into the distinctive toughening mechanisms of basalt fibers in seawater sea-sand geopolymer composites,Composites Part B: Engineering,8,False,False
10.1038/s41598-026-47208-z,2026,Predicting unconfined compressive strength of geopolymer-stabilized clays using a sector fruit fly–based extreme learning machine,Scientific Reports,7,True,False
10.1016/j.jclepro.2026.147501,2026,Machine learning-driven multi-objective optimization and dynamic performance prediction of geopolymer concrete,Journal of Cleaner Production,7,True,False
10.1016/j.compstruct.2025.119906,2026,Novel hybrid machine learning framework for high-fidelity prediction of fly ash-based geopolymer concrete strength,Composite Structures,6,True,False
10.1016/j.conbuildmat.2025.144827,2026,"Development of high-performance one-part geopolymer foam concrete using ground granulated blast furnace slag, waste concrete sludge, and bamboo powder for sustainable construction",Construction and Building Materials,6,False,True
10.1016/j.conbuildmat.2026.145360,2026,Effect of precursor and activator on macro and micro properties of fly ash and GGBS based one-part geopolymer,Construction and Building Materials,5,False,True
10.1061/jcrgei.creng-1024,2026,Interpretable Machine Learning for Thermomechanical Property Prediction of Geopolymer-Solidified Soils under Subzero Curing Conditions,Journal of Cold Regions Engineering,4,True,False
10.3390/ma19030551,2026,Magnesium Slag-Activated One-Part Geopolymer Concretes: A Viable Supplementary Pathway Toward Low-Carbon Concrete Production,Materials,4,False,True
10.1016/j.conbuildmat.2026.145161,2026,Sustainable geopolymer composites incorporating waste volcanic tuff and recycled geopolymer concrete powder as base materials,Construction and Building Materials,4,False,False
10.1016/j.conbuildmat.2026.145406,2026,Effects of mixed strong-weak alkali activators on the performance and sustainability of one-part slag-fly ash mortars: A comprehensive evaluation,Construction and Building Materials,4,False,True
10.3390/ma19010209,2026,Prediction of the Unconfined Compressive Strength of One-Part Geopolymer-Stabilized Soil Under Acidic Erosion: Comparison of Multiple Machine Learning Models,Materials,3,True,True
10.1080/21650373.2026.2629850,2026,Intelligent design framework for compressive strength modeling of ultra-high-performance geopolymer concrete (UHPGC): grey wolf optimizer–integrated machine learning and experimental verification,Journal of Sustainable Cement-Based Materials,3,True,False
10.1016/j.cemconcomp.2025.106364,2026,Evaluation of strength development of one-part alkali-activated materials through machine learning and thermodynamic modelling,Cement and Concrete Composites,3,True,True
10.1016/j.conbuildmat.2025.144888,2026,"Performance evaluation for alkali-activated fly ash-slag concrete with recycled coarse aggregate: Compressive properties, CO2 emission impacts and cost-benefits",Construction and Building Materials,3,False,False
10.1016/j.engappai.2025.113254,2026,Multi-objective mix optimization of geopolymer recycled aggregate concrete using prior knowledge embedded neural network and evolutionary algorithm,Engineering Applications of Artificial Intelligence,3,True,False
10.3390/su18052227,2026,Interpretable Machine Learning for Compressive Strength Prediction of Fly Ash-Based Geopolymer Concrete,Sustainability,2,True,False
10.1038/s41598-026-43052-3,2026,"Integrated experimental, machine learning, and life-cycle assessment of fly ash–silica fume based self-compacting geopolymer concrete",Scientific Reports,2,True,False
10.3390/buildings16040707,2026,Mechanical Properties and Reproducibility of One-Part Ambient-Cured Slag and Fly Ash-Based Geopolymer Concrete,Buildings,2,False,True
10.1016/j.compositesb.2025.113354,2026,Tailoring geopolymer composite with polyol derived from bagasse: A novel route to green construction materials,Composites Part B: Engineering,2,False,False
10.1016/j.jobe.2025.114850,2026,Fly ash and waste brick powder-based one-part geopolymer foam concrete with enhanced thermal performance: A circular approach to construction and demolition waste utilization,Journal of Building Engineering,2,False,True
10.1016/j.compositesb.2025.113336,2026,"Viability of fiber-reinforced geopolymer mortar as a protective layer for coal gangue concrete piles in cold regions: Balancing materials, applications, and sustainability",Composites Part B: Engineering,2,False,False
10.1038/s41598-025-34746-1,2026,Performance evaluation and TiGRA-based multi-response optimization of sustainable fly ash-slag-based one-part alkali-activated concrete mix design,Scientific Reports,2,False,True
10.1016/j.jenvman.2026.129184,2026,"Functional contribution and optimization of mix proportion of coal gangue, slag, and fly ash in the preparation of alkali-activated backfill materials",Journal of Environmental Management,2,False,False
10.1038/s41598-026-38722-1,2026,Electromagnetic shielding performance and mechanical properties of vermiculite-based lightweight geopolymer mortars,Scientific Reports,2,False,False
10.3390/ma19081578,2026,Mechanical Properties of Basalt–Polypropylene Hybrid Fiber-Reinforced Red Mud–Coal Metakaolin Geopolymer,Materials,2,False,False
10.1016/j.cemconcomp.2026.106483,2026,Mechanical and adhesive properties of alkali-activated fly ash (AAF) and alkali-activated slag (AAS) at the nano- and micro-scales,Cement and Concrete Composites,2,False,False
10.1016/j.envres.2025.123252,2026,Carbonation performance and environmental assessment of alkali-activated slag-fly ash-steel slag mortars: precursor composition effects revealed by quantitative carbonate zoning,Environmental Research,2,False,False
